,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
1220,4,13,3,1909,4.0,29796,39.0,76.9,2291194.0,867819.0,1423411.0,81.65,2.61
1221,4,14,3,1920,2.0,26400,27.0,48.5,1049088.0,874299.0,174825.0,15.38,0.44
1222,4,17,3,1918,3.0,38148,95.0,29.7,1493137.0,1493199.0,0.0,10.41,0.1
1223,3,8,3,1909,6.0,40950,47.0,49.6,1193790.0,1193839.0,0.0,8.32,0.08
1225,4,19,7,1955,5.0,31945,4.0,56.7,1811669.0,1811744.0,0.0,12.63,0.15
1227,3,8,7,2001,6.0,80592,81.0,32.1,1607590.0,1593009.0,14647.0,11.88,0.06
1228,3,8,7,1994,9.0,228675,97.0,30.0,4889567.0,3450842.0,1438868.0,100.47,0.37
1229,3,8,7,2001,7.0,137324,99.0,32.4,2966309.0,1875380.0,1091007.0,71.02,0.46
1230,4,17,7,1985,5.0,85963,43.0,85.4,4520838.0,4521026.0,0.0,31.52,0.14
1231,3,8,7,2004,6.0,101192,30.0,33.7,1997488.0,1980912.0,16658.0,14.69,0.06
1233,3,8,7,1999,6.0,65712,97.0,31.0,1381407.0,1083814.0,297638.0,23.36,0.28
1234,2,6,7,1908,3.0,25800,94.0,29.5,760090.0,461951.0,298158.0,19.06,0.66
1235,2,6,7,1908,3.0,20712,95.0,41.4,856771.0,176990.0,679789.0,37.34,1.77
1236,4,14,3,1900,4.0,34680,92.0,34.6,1200811.0,783536.0,417307.0,27.63,0.7
1237,4,19,3,1968,3.0,75058,8.0,105.0,7879628.0,1230144.0,6649535.0,361.73,4.75
1238,1,1,3,1923,10.0,67560,86.0,47.6,3218824.0,2532361.0,686568.0,54.12,0.64
1239,4,17,3,1903,3.0,57720,100.0,1.8,43943.0,43945.0,0.0,0.31,0.0
1240,4,14,3,1915,1.0,36504,5.0,132.1,2139713.0,2016013.0,123784.0,20.63,0.33
1241,4,17,3,1907,6.0,35200,7.0,86.8,3054714.0,3054841.0,0.0,21.3,0.23
1242,4,17,3,1907,5.0,35840,75.0,45.7,1638229.0,910087.0,728179.0,45.02,1.15
1243,4,11,3,1941,2.0,25920,55.0,60.9,1415494.0,1415553.0,0.0,9.87,0.15
1245,3,8,3,1910,7.0,42078,84.0,35.3,1483856.0,846759.0,637132.0,39.74,0.86
1246,2,6,3,1907,3.0,27250,64.0,44.6,1339385.0,549157.0,790250.0,45.8,1.59
1248,3,8,4,1925,5.0,47154,93.0,52.3,1972234.0,593399.0,1378860.0,77.37,1.59
1249,3,8,4,1962,5.0,39895,5.0,93.7,2996641.0,644491.0,2352177.0,129.42,3.17
1250,2,6,4,1925,4.0,63681,54.0,39.8,2216979.0,1195877.0,1021151.0,62.57,0.9
1251,3,8,4,1925,6.0,57930,96.0,30.6,1775433.0,1037828.0,737649.0,46.41,0.72
1252,3,8,4,1991,5.0,62480,72.0,32.3,2020560.0,2020644.0,0.0,14.09,0.09
1253,1,1,4,1962,18.0,250883,99.0,32.9,8241967.0,1839309.0,6402734.0,352.87,1.37
1255,2,6,4,1905,4.0,24840,87.0,29.5,733970.0,407339.0,326647.0,20.19,0.74
1256,2,6,4,1997,4.0,132024,45.0,45.1,3073778.0,1923028.0,1150829.0,74.53,0.5
1258,3,8,4,1993,5.0,111954,89.0,54.3,3805877.0,1983370.0,1822589.0,110.62,0.91
1259,1,1,4,2000,13.0,207022,1.0,114.3,18074716.0,7603866.0,10471167.0,609.13,2.78
1260,2,6,4,1916,4.0,77246,97.0,28.1,2172841.0,1055994.0,1116890.0,66.68,0.8
1261,3,8,4,1987,5.0,42331,80.0,28.0,1183623.0,1183672.0,0.0,8.25,0.07
1262,4,7,4,1962,2.0,30855,2.0,139.1,2999512.0,1532714.0,1466861.0,88.59,2.66
1264,3,8,4,1998,5.0,32870,42.0,39.4,862826.0,862862.0,0.0,6.02,0.07
1269,1,1,4,1949,14.0,333244,64.0,48.5,12448381.0,7441291.0,5007400.0,317.82,0.86
1271,2,6,4,1923,4.0,43606,76.0,33.6,1198291.0,1198341.0,0.0,8.35,0.07
